year,danceability_mean,energy_mean,tempo_mean,acousticness_mean,duration_ms_mean
1980,0.620375,0.5713875,103.13012500000000,0.35603075,207390.125
1981,0.6296,0.6487,123.56870000000000,0.30431000000000000,227190.8
1982,0.66825,0.629375,120.588,0.140625,235501.5
1983,0.6966666666666670,0.5925555555555560,122.8578888888890,0.1390877777777780,252008.88888888900
1984,0.651,0.6913333333333330,116.19355555555600,0.17564444444444400,249787.66666666700
1985,0.6625555555555560,0.6556666666666670,107.88444444444400,0.17285555555555600,279528.44444444400
1986,0.6247777777777780,0.5701111111111110,112.35955555555600,0.20942555555555600,272094.77777777800
1987,0.6253333333333330,0.7921111111111110,108.94866666666700,0.22597111111111100,263893.0
1988,0.6216,0.7045,121.7202,0.22663000000000000,260759.9
1989,0.6794444444444450,0.6676666666666670,110.75955555555600,0.27057444444444400,253647.33333333300
1990,0.6485714285714290,0.606,115.785,0.2858914285714290,277173.28571428600
1991,0.62125,0.555375,115.619625,0.196257625,273139.875
1992,0.7074,0.5676,113.42820000000000,0.17488510000000000,270712.0
1993,0.7058888888888890,0.5664444444444440,109.53166666666700,0.2531366666666670,269637.0
1994,0.639625,0.56225,113.854625,0.24920625,243978.125
1995,0.6866666666666670,0.5704444444444450,120.8881111111110,0.22978222222222200,270767.44444444400
1996,0.6434285714285710,0.47914285714285700,129.6282857142860,0.4323714285714290,262662.85714285700
1997,0.706375,0.6215000000000000,105.768125,0.16731375000000000,258585.0
1998,0.641125,0.499375,131.3,0.214225,273190.125
1999,0.6535555555555560,0.6553333333333330,123.76655555555600,0.18128222222222200,231017.77777777800
2000,0.6454444444444450,0.6486666666666670,112.34155555555600,0.15854111111111100,260767.33333333300
2001,0.6315000000000000,0.692875,99.54875,0.1721975,232441.75
2002,0.655,0.7305000000000000,122.5033,0.120028,245053.3
2003,0.65075,0.759375,95.57175,0.14179625000000000,226088.375
2004,0.738125,0.68425,103.61125,0.1576625,230299.875
2005,0.7128888888888890,0.6503333333333330,121.20144444444400,0.14224222222222200,220696.22222222200
2006,0.77825,0.697875,123.144125,0.19102125,232418.0
2007,0.6308333333333330,0.6788333333333330,138.6345,0.23780666666666700,237920.0
2008,0.6895000000000000,0.5606666666666670,112.681,0.30916666666666700,231875.66666666700
2009,0.7134444444444440,0.6925555555555560,128.154,0.12825555555555600,224746.77777777800
2010,0.70725,0.8255,109.2475,0.1205325,238074.875
2011,0.6887777777777780,0.771,121.96355555555600,0.12447777777777800,224519.88888888900
2012,0.6818,0.7067,128.416,0.09395,217834.9
2013,0.5965555555555560,0.6842222222222220,123.64677777777800,0.18727888888888900,253206.66666666700
2014,0.6295000000000000,0.655625,124.885,0.2395425,219399.5
2015,0.7225,0.66925,111.208,0.1606525,227923.0
2016,0.6535,0.632125,130.298375,0.186995,227330.0
2017,0.7688888888888890,0.6657777777777780,126.14122222222200,0.18415355555555600,225174.44444444400
2018,0.708875,0.66425,120.57425,0.0835125,216594.75
2019,0.7778,0.5755,127.33420000000000,0.217129,209586.3
2020,0.7048888888888890,0.6256666666666670,116.77633333333300,0.25289666666666700,200920.33333333300
